able	способный
about	о
above	выше
accept	принимать
across	через
act	действовать
actually	на самом деле
add	добавлять
admit	признавать
afraid	испуганный
after	после
afternoon	полдень
again	снова
against	против
age	возраст
ago	назад
agree	соглашаться
ahead	предстоящий
air	воздух
all	все
allow	позволять
almost	почти
alone	один
along	вдоль
already	уже
alright	хорошо
also	также
although	хотя
always	всегда
am	являюсь
amaze	поражать
and	и
anger	злость
angry	злой
animal	животное
annoy	раздражать
another	другой
answer	отвечать
any	любой
anymore	больше
anyone	любой
anything	что-либо
anyway	в любом случае
apartment	квартира
apparently	видимо
appear	появляться
approach	подход
are	являются
area	область
aren't	не
arm	рука
around	вокруг
arrive	приезжать
as	как
ask	просить
asleep	спящий
ass	жопа
at	в
attack	атака
attempt	пытаться
attention	внимание
aunt	тетя
avoid	избегать
away	прочь
